@ HyperIMU - ianovir
@ Date:Wed Mar 25 17:55:25 EDT 2026, Sampling Rate:100ms

icm45631_accelerometer.x,icm45631_accelerometer.y,icm45631_accelerometer.z,mmc5616_magnetometer.x,mmc5616_magnetometer.y,mmc5616_magnetometer.z,orientation_sensor.x,orientation_sensor.y,orientation_sensor.z,icm45631_gyroscope.x,icm45631_gyroscope.y,icm45631_gyroscope.z
0.57475805,6.6572275,7.017854,-7.1004,-39.772,-7.1614,165.07501,-44.620083,-0.42485827,-0.024764357,-0.095693335,0.33449367
0.44592008,6.509984,7.1304564,-9.2842,-39.4426,-7.3566,163.56183,-43.98046,0.5651471,-0.22267936,0.092179365,0.25768587
0.13811551,6.9903207,7.540688,-12.566,-39.2108,-8.5278,162.09929,-43.3198,0.41356555,-0.048146438,0.0850848,0.09732542
0.22490533,6.64997,8.257826,-6.5758,-39.6134,-11.0532,160.57814,-41.357883,-4.3029757,0.16728847,1.1416751,-0.77379036
-1.0007015,5.3196917,5.083564,-2.1838,-39.735397,-13.6762,161.5315,-38.144352,-10.617149,-1.6121147,-0.63546306,-0.7296076
-0.5223101,3.9597104,9.876157,-0.8174,-36.295,-21.5818,166.81693,-25.45856,-7.056205,-1.0335081,-0.7345205,0.15782906
1.3969419,3.6120274,12.245818,-8.113,-34.16,-23.594799,168.42424,-20.44824,6.076187,0.75175726,-3.9536204,0.84400326
3.9332993,5.6212115,4.774487,-16.0064,-37.7712,-5.2826,175.80293,-42.916035,23.665827,4.20676,-0.7298907,-0.08248679
4.8721256,7.4994626,4.44506,-15.9332,-37.4052,4.4652,177.39883,-58.41375,25.547667,0.47635165,0.4556675,-0.31845596
3.955371,7.827169,4.0497174,-14.6765995,-38.4666,5.124,174.64272,-60.054523,21.714804,7.6607964E-4,0.7241451,-0.17776377
3.4021606,8.286931,5.212551,-12.9198,-39.576797,2.7694,170.60097,-56.956352,16.133583,-0.4230758,1.2853484,-0.9220268
-0.23799862,7.1395097,5.317447,-7.1614,-40.87,-2.806,167.39462,-51.24841,4.4357333,-0.8137264,0.7685444,-0.5534259
0.18876784,6.82946,6.2156467,-5.9536,-40.9188,-6.3073997,166.96982,-46.720192,1.7249448,-0.97218835,0.41098505,-0.36803463
1.0147674,5.208137,7.40766,-5.6608,-39.259598,-11.9194,166.89601,-38.597416,1.554464,-1.7733245,-0.03314127,0.29076052
0.17275661,4.738499,8.254983,-5.4656,-37.515,-19.093,165.47969,-28.209585,1.4903181,-1.3170741,0.3285982,-0.19526704
0.48235682,2.2724714,10.997017,-5.7584,-33.0254,-25.9006,167.42879,-16.70078,2.664563,-1.6802458,-0.009575996,-0.027578866
-0.104297414,2.9826515,13.164443,-4.8068,-31.903,-27.3402,167.61044,-14.14335,1.1314389,0.25568742,-0.22556049,-0.12875134
-0.14948797,3.2968156,9.938406,-4.4652,-35.294598,-21.3744,168.63066,-23.7701,1.5308546,2.696567,-0.061352987,-0.11238055
0.93852705,5.206715,6.206519,-4.3919997,-39.7476,-10.4676,168.33047,-37.97659,0.631452,1.5774245,0.4739535,-0.0498951
-1.2611457,6.407258,3.1907976,-2.7572,-40.821198,-5.5266,165.44069,-46.71748,-3.908603,1.1209077,1.022583,-0.007510911
-0.99725986,6.6952353,3.5377324,-2.074,-41.0774,-4.3554,162.42557,-49.164223,-6.4789667,-0.51453906,0.38743645,-0.052326567
-0.26508301,6.5606365,9.049858,-2.806,-40.1502,-11.0654,162.97319,-39.964256,-4.8687,-1.2898449,-0.15063457,2.4980857E-4
-1.2214918,5.387777,8.034717,-2.0618,-39.4548,-15.127999,162.41399,-35.09127,-6.254775,-0.413683,-0.027262442,-0.20342745
-0.09696517,5.321712,10.995446,-1.3176,-38.3812,-17.3484,163.70001,-31.338173,-6.8691006,-0.16897053,0.21625096,-0.31397608
-1.6084546,5.5527525,11.924023,-1.1101999,-38.1494,-16.3724,164.51953,-32.33325,-6.84046,0.30181873,0.22712596,0.36070693
1.1139772,6.8360443,7.3706994,-0.793,-39.881798,-12.7002,162.08636,-38.387806,-6.784881,1.0020155,0.3203878,-0.15468147
0.15128362,7.463999,7.8306108,2.1594,-40.7724,-10.4798,163.20602,-44.84068,-3.9709551,0.42454135,-0.18419218,-0.84974885
1.5405191,6.165219,5.8048167,4.2212,-41.3336,-7.7591996,169.47777,-48.555923,-3.9199793,0.58278674,-0.5942613,-0.801186
1.2283003,3.154286,4.9964743,9.2354,-40.687,-6.7588,177.85995,-50.140842,-5.7194896,0.31659073,-0.23903349,-1.2912272
0.71848494,2.371831,6.802002,14.0056,-39.1254,-9.7355995,186.34793,-44.742634,-9.278236,-1.5843692,-1.7674956,-1.3501154
0.8670003,2.1509657,10.648437,16.555399,-33.6964,-18.0926,203.28201,-28.958965,-3.154998,-1.4724216,-2.595411,-1.6427745
1.266009,2.1912184,12.12117,17.9096,-28.3406,-28.2918,219.94087,-22.005983,4.8394012,-0.81780666,-2.2989051,-1.8531799
-0.9424925,-0.0077811554,14.852131,19.5444,-20.74,-33.4768,237.38779,-18.899534,8.680447,-0.44324368,-0.6422412,-2.669804
-2.7716625,0.2905214,11.628339,23.1922,-14.798599,-35.2824,252.43658,-20.653522,5.585975,0.30589893,-0.2134198,-2.051228
-2.1401918,1.7047465,10.572271,24.8758,-12.7123995,-35.8192,262.4866,-23.895483,3.254607,0.4994839,-0.29579002,-1.2438302
-2.822689,1.8708441,9.033098,26.5106,-11.663199,-35.8802,268.0509,-20.07566,-7.6051464,0.7013792,0.40850362,-0.7478769
-2.5668087,2.4536827,7.3072534,27.5232,-13.664,-34.3674,269.7773,-23.965427,-10.831594,0.8494324,0.22334552,-0.15887825
-2.7899184,1.3906571,6.34022,29.3044,-16.226,-32.3788,269.52582,-28.449657,-12.54696,0.85852545,0.11063189,-0.051593795
