epoch	mean_loss	lr
0	1.048272	4.600000e-06
1	0.887295	9.400000e-06
2	0.698511	1.420000e-05
3	0.532301	1.900000e-05
4	0.405207	2.380000e-05
5	0.339112	2.860000e-05
6	0.333210	3.340000e-05
7	0.310160	3.820000e-05
8	0.289491	4.300000e-05
9	0.281714	4.780000e-05
10	0.278192	5.260000e-05
11	0.274883	5.740000e-05
12	0.270812	6.220000e-05
13	0.267102	6.700000e-05
14	0.261100	7.180000e-05
15	0.261297	7.660000e-05
16	0.265942	8.140000e-05
17	0.260592	8.620000e-05
18	0.249938	9.100000e-05
19	0.249818	9.580000e-05
20	0.241786	9.999988e-05
21	0.252753	9.999027e-05
22	0.259024	9.996529e-05
23	0.240066	9.992496e-05
24	0.246459	9.986927e-05
25	0.233523	9.979825e-05
26	0.253831	9.971192e-05
27	0.243455	9.961030e-05
28	0.244116	9.949343e-05
29	0.237762	9.936135e-05
30	0.241712	9.921409e-05
31	0.239706	9.905170e-05
32	0.245907	9.887422e-05
33	0.249379	9.868172e-05
34	0.237292	9.847426e-05
35	0.240924	9.825189e-05
36	0.233369	9.801468e-05
37	0.236128	9.776272e-05
38	0.234136	9.749607e-05
39	0.244653	9.721481e-05
40	0.231919	9.691904e-05
41	0.225279	9.660885e-05
42	0.220766	9.628432e-05
43	0.239678	9.594557e-05
44	0.229429	9.559269e-05
45	0.232811	9.522579e-05
46	0.230258	9.484498e-05
47	0.228992	9.445039e-05
48	0.232747	9.404214e-05
49	0.234126	9.362034e-05
50	0.226452	9.318513e-05
51	0.225953	9.273664e-05
52	0.232520	9.227502e-05
53	0.229120	9.180039e-05
54	0.235072	9.131292e-05
55	0.223390	9.081274e-05
56	0.231636	9.030002e-05
57	0.229180	8.977490e-05
58	0.224413	8.923756e-05
59	0.213381	8.868815e-05
60	0.232787	8.812685e-05
61	0.223528	8.755383e-05
62	0.223767	8.696926e-05
63	0.219250	8.637332e-05
64	0.230343	8.576621e-05
65	0.219330	8.514809e-05
66	0.229613	8.451917e-05
67	0.234122	8.387964e-05
68	0.221236	8.322969e-05
