@ HyperIMU - ianovir
@ Date:Tue Mar 31 16:30:20 EDT 2026, Sampling Rate:5ms

icm45631_accelerometer.x,icm45631_accelerometer.y,icm45631_accelerometer.z,mmc5616_magnetometer.x,mmc5616_magnetometer.y,mmc5616_magnetometer.z,orientation_sensor.x,orientation_sensor.y,orientation_sensor.z,icm45631_gyroscope.x,icm45631_gyroscope.y,icm45631_gyroscope.z
-0.060528412,6.2873983,7.7831755,3.8674,-32.9766,1.0126,182.838,-40.53403,-8.682737,-0.053942,-0.55347586,-0.24894257
-0.10377368,6.2799163,7.6383266,4.3919997,-32.2324,1.3176,183.33118,-40.385223,-8.228145,0.072128065,-0.7496422,-0.37587863
-0.14627077,6.2737064,7.567473,4.1846,-32.5374,0.732,183.54543,-40.365444,-8.081807,0.0985245,-0.8058991,-0.42980397
-0.5152771,6.2013564,7.2691703,4.1846,-32.5374,0.732,184.58699,-40.340866,-7.67403,0.08235356,-0.8392569,-0.57542574
-0.6819734,6.057181,7.1139216,4.697,-32.256798,0.6344,185.14874,-40.308933,-7.5241566,0.0039636292,-0.7741068,-0.5837693
-0.8099884,5.884723,7.098808,5.3069997,-31.8176,1.4274,185.94012,-40.177757,-7.351642,-0.16572301,-0.66805476,-0.51838607
-0.8267478,5.8884645,7.304036,5.6974,-32.269,1.1223999,186.40846,-40.01873,-7.250494,-0.2687607,-0.58017206,-0.43131948
-0.7790134,5.928193,7.6556845,5.917,-31.854198,0.45139998,186.8032,-39.813015,-7.155872,-0.3482165,-0.43921342,-0.30871344
-0.64441437,6.0628667,7.988628,5.917,-31.842,0.6466,187.23917,-39.463867,-7.0363545,-0.35286292,-0.3044667,-0.20304441
-0.4747253,6.229788,8.226253,5.9291997,-31.4882,0.56119996,187.43477,-39.242977,-6.977333,-0.27452296,-0.19746535,-0.14134169
-0.3266589,6.41676,8.264186,5.8072,-31.8786,0.060999997,187.63756,-38.994595,-6.9244065,-0.13471344,-0.13534628,-0.14030915
-0.25423428,6.5994673,7.9956613,5.8072,-31.854198,0.45139998,187.80708,-38.897774,-6.923667,0.05983748,-0.09451091,-0.20386045
-0.3366846,6.640468,7.59351,6.4294,-31.3662,0.6588,187.9349,-38.921684,-6.954622,0.164424,-0.09964031,-0.25960106
-0.448838,6.669498,7.1754227,6.2219996,-31.4882,0.26839998,188.00815,-38.957058,-6.974363,0.21478541,-0.117643185,-0.29465753
-0.5877017,6.7091517,6.8228765,6.4172,-31.5614,0.366,188.26947,-39.130325,-7.0302267,0.23924999,-0.17588189,-0.33890697
-0.7046435,6.7538185,6.5983453,6.3561997,-30.682999,0.183,188.48514,-39.252876,-7.0651236,0.20141232,-0.24479574,-0.37143204
-0.7154922,6.7501526,6.6113634,6.7588,-30.756199,0.28059998,188.73177,-39.35682,-7.086947,0.15115084,-0.28464854,-0.39694583
-0.6037129,6.624307,6.770428,7.0516,-30.7806,1.0613999,189.1509,-39.44516,-7.109456,0.09472741,-0.3017521,-0.44284397
-0.5745336,6.4718266,7.0016184,7.2468,-30.805,0.57339996,189.45865,-39.463146,-7.1359606,0.06388438,-0.3047165,-0.49422127
-0.57483286,6.3573537,7.1321025,7.3687997,-30.5122,0.97599995,189.95174,-39.45861,-7.207169,0.060636867,-0.26093337,-0.53880376
-0.6064064,6.201955,7.13936,7.0759997,-30.195,0.48799998,190.28543,-39.45191,-7.288414,0.05978752,-0.2136363,-0.56878084
-0.6870611,6.168137,7.0837693,7.0759997,-30.195,0.48799998,190.6147,-39.44453,-7.3958097,0.044465926,-0.17048602,-0.586384
-0.8546552,6.2078657,6.944681,6.4782,-30.2438,-0.0,191.09096,-39.414936,-7.605193,-1.16577336E-4,-0.10165544,-0.5787565
-0.96448916,6.256348,6.9161005,6.5148,-29.341,0.3172,191.51254,-39.346268,-7.8596025,-0.05609035,-0.030226838,-0.53354114
-0.9472809,6.2935333,6.998551,7.2102,-29.3044,0.5124,191.75676,-39.278236,-8.039484,-0.102554746,-0.0174866,-0.48226377
-0.88263744,6.386982,7.100454,8.0398,-28.609,1.0126,192.09155,-39.147152,-8.292479,-0.12112385,-0.048512824,-0.46464396
-0.7847744,6.5105076,7.2013097,8.723,-29.0238,0.91499996,192.31924,-39.05047,-8.429232,-0.10873334,-0.11334648,-0.4659596
-0.73823714,6.544176,7.36419,8.9426,-28.7066,0.1464,192.70573,-38.920147,-8.576689,-0.05161045,-0.22041443,-0.5058957
-0.77744216,6.566622,7.316007,8.4302,-28.914,0.0366,193.00609,-38.850853,-8.649872,-0.02013457,-0.27142534,-0.51735353
-0.7529016,6.55712,7.212383,8.7718,-27.876999,0.7442,193.33679,-38.80646,-8.690829,0.018302642,-0.3510976,-0.5196851
-0.7233482,6.567819,7.0573583,8.8572,-28.2796,-0.1464,193.69568,-38.781013,-8.69722,0.039952718,-0.44592497,-0.51662076
-0.78402627,6.4907556,6.684312,9.6868,-27.511,0.26839998,194.28197,-38.742104,-8.657258,0.018702336,-0.5237986,-0.4899912
-0.8903438,6.5215063,6.8731546,9.4672,-27.9502,0.54899997,194.68913,-38.700436,-8.5985365,-0.019085376,-0.5436001,-0.44372663
-1.0035446,6.66441,6.9350295,9.601399,-27.2426,0.46359998,195.27184,-38.606216,-8.462864,-0.08346937,-0.5406191,-0.36653578
-1.0017489,6.7434187,7.17849,10.321199,-26.6936,0.0976,195.62471,-38.52697,-8.341028,-0.13851053,-0.51951855,-0.3147921
-0.9044097,6.792874,7.221062,10.309,-27.0718,-0.305,195.9481,-38.415604,-8.212773,-0.18310969,-0.48880875,-0.28796268
-0.80482584,6.835371,7.5061216,10.1992,-27.1694,-0.305,196.2493,-38.271698,-8.095609,-0.22875804,-0.4135664,-0.28063494
-0.7009774,6.7785087,7.5358996,10.8214,-26.8034,-0.7808,196.52783,-38.108902,-8.002094,-0.25711963,-0.33627564,-0.2872632
-0.6595278,6.7191024,7.6320415,10.2602,-25.705399,0.305,196.89487,-37.840496,-7.9295216,-0.29692248,-0.2113547,-0.28601417
-0.69080204,6.6162267,7.55438,10.8336,-26.522799,-0.5856,197.09496,-37.64829,-7.9296675,-0.3445693,-0.106218606,-0.27585527
-1.0791116,6.8274403,7.871462,11.163,-25.656599,-1.1467999,197.33539,-37.321968,-7.99886,-0.36966673,-0.035989087,-0.24106528
-1.2678795,6.8854995,8.260071,11.0776,-25.4736,-1.0491999,197.45242,-37.097397,-8.066705,-0.3293476,0.052859493,-0.15328254
-1.2352585,6.736685,8.505626,10.8946,-25.0222,-0.7442,197.52342,-36.81432,-8.181663,-0.25555417,0.15001838,-0.07064586
-1.1469723,6.5616837,8.639477,11.2972,-25.0222,-0.93939996,197.5012,-36.675808,-8.273791,-0.18056163,0.22089739,-0.022915773
-1.2560581,6.4870896,8.572963,10.711599,-24.6196,-1.3176,197.40182,-36.540424,-8.437352,-0.06986313,0.3205044,0.015504786
-1.3842975,6.367903,8.157643,10.7238,-24.4854,-2.0008,197.23454,-36.49631,-8.643559,-0.002964395,0.39927736,0.040335756
-1.4061446,6.3259296,8.050055,10.7238,-24.4854,-2.0008,197.16495,-36.50158,-8.721443,-0.016603943,0.40896994,0.041018568
-1.5390228,6.135516,8.060005,10.9556,-23.5826,-1.9764,196.82343,-36.468063,-9.093487,-0.21999808,0.16682217,7.4942573E-4
-1.9116204,5.928193,8.856077,11.0776,-23.0458,-2.1594,196.74554,-36.28367,-9.204232,-0.35447836,-0.003330781,-0.05843855
-2.125303,5.5163155,9.762881,11.2972,-22.6798,-2.0618,196.86545,-35.748947,-9.185932,-0.32142037,-0.1575626,-0.0240982
-2.0620062,5.227814,9.967286,10.797,-22.5334,-2.2447999,196.92903,-35.557484,-9.122503,-0.1938348,-0.098058194,0.06428407
-1.7706618,4.677148,9.750611,11.407,-22.435799,-2.6352,196.93292,-35.39485,-9.025361,-0.030526608,0.03510643,0.16500689
-2.056694,4.6731076,9.298855,10.9556,-21.459799,-3.6843998,196.7964,-35.38051,-8.972232,0.053758804,0.11414586,0.24377985
-2.155754,4.7655087,9.030106,10.9556,-21.35,-3.4891999,196.59984,-35.420834,-8.934762,0.036605284,0.07372684,0.332795
-2.2350621,4.7338605,8.746393,10.9556,-21.35,-3.4891999,196.38297,-35.353905,-8.87093,-0.0565067,0.028494831,0.4083704
-2.232593,4.761319,8.715268,10.3822,-20.642399,-4.5383997,196.19687,-35.251015,-8.804805,-0.14292382,-0.046197932,0.44827315
-2.033126,4.745383,8.696863,11.0044,-20.069,-4.331,195.96588,-35.074394,-8.609503,-0.19786504,-0.081787325,0.46715868
-1.7964743,4.6294136,8.540417,10.711599,-20.0812,-4.4286,195.73785,-34.829544,-8.383139,-0.2298905,0.023831738,0.42698947
-1.7246482,4.560131,8.162731,10.125999,-19.8494,-4.4286,195.49593,-34.554043,-8.2464,-0.26321498,0.13040008,0.35286292
-1.7063924,4.4666824,7.779734,10.431,-19.703,-5.3069997,195.18616,-34.36525,-8.173101,-0.31084514,0.16200918,0.28511485
-1.8614918,4.416629,7.4140944,10.1504,-19.3736,-5.5875998,195.0615,-34.21139,-8.158722,-0.38220713,0.14438936,0.22506087
-2.1407156,4.4486513,7.190461,9.8454,-19.4956,-5.7827997,194.89612,-33.907814,-8.151054,-0.47490275,0.0697299,0.19276895
-2.3385365,4.545766,7.2731357,9.9674,-18.848999,-5.5754,194.74539,-33.50166,-8.087227,-0.58378595,-0.120840736,0.18445864
-2.123657,4.497882,7.48203,10.089399,-18.361,-6.344,194.76427,-33.17364,-7.967572,-0.6458884,-0.3048497,0.15837863
-1.7676691,4.414833,7.6767087,9.6868,-18.605,-7.2223997,194.87599,-32.615906,-7.6735764,-0.68242705,-0.45713302,0.061386295
-1.4296377,4.288539,7.715988,10.2968,-18.3366,-7.8079996,195.08098,-32.002155,-7.31915,-0.71368647,-0.5344738,-0.122006506
-1.3858687,4.137106,7.6953382,10.1138,-17.921799,-8.1862,195.38652,-31.565498,-7.100738,-0.7527232,-0.5395199,-0.2730241
-1.4232781,3.9552212,7.506795,9.6502,-17.2508,-8.5644,195.91396,-30.865623,-6.8377395,-0.80613226,-0.47901627,-0.40587232
-1.6486323,3.700912,7.2616887,10.248,-17.1532,-8.7474,196.41924,-30.112076,-6.668774,-0.88868564,-0.4050896,-0.41573143
-1.7290626,3.4377744,7.1398087,10.1748,-16.5798,-9.7112,196.98694,-29.289516,-6.5479574,-0.990924,-0.36578637,-0.3228193
-1.5941643,3.34051,7.2129817,9.894199,-16.286999,-10.492,197.47112,-28.392982,-6.4078627,-1.067532,-0.38119122,-0.21315333
-1.3891608,3.217358,7.345411,9.9064,-15.9332,-10.4798,197.68057,-27.757986,-6.2704597,-1.1289848,-0.49890104,-0.12933423
-1.3716531,3.3085623,7.73589,10.223599,-15.554999,-10.37,197.98203,-27.098305,-6.0675015,-1.1466213,-0.68221056,-0.09149655
-1.096245,3.4368765,8.275633,9.7355995,-15.2866,-11.528999,198.41992,-26.08716,-5.5704136,-1.114929,-0.8757622,-0.03450689
-0.8123078,3.334749,8.769437,9.2476,-15.030399,-11.333799,198.6533,-25.43349,-5.1288376,-1.0516108,-0.89986044,0.017536562
-0.40514383,3.0276177,9.147871,9.3574,-14.932799,-12.8954,199.05263,-24.508335,-4.444333,-0.9280888,-0.7056593,0.055757273
0.18450317,2.5671828,9.469966,9.2842,-14.3716,-12.3952,199.49536,-21.60524,-2.8451238,-0.75320613,-0.1921361,-0.020450994
-0.05626374,2.335843,9.597307,9.2232,-13.3345995,-14.310599,199.59163,-20.323862,-2.3916147,-0.5799889,0.45471823,-0.16112652
-0.8765023,2.270227,9.514558,9.1133995,-13.5786,-13.9324,199.70242,-19.470638,-2.9392374,-0.3990109,1.0506116,-0.16380781
-1.6833483,2.2426937,9.356541,9.2598,-12.5294,-14.2008,199.66476,-18.670443,-4.232957,-0.2691271,1.361157,-0.08027182
-2.0453217,2.7842321,9.213113,9.6746,-12.322,-14.0056,199.58737,-18.379597,-5.228813,-0.15276627,1.419912,0.085784264
-2.3088334,3.247211,8.827197,8.8938,-11.7852,-13.3102,199.10927,-18.313385,-6.7169456,-0.08936486,1.3722651,0.30686486
-1.9405752,3.4109144,8.596157,9.5892,-11.834,-13.3102,198.8106,-18.326752,-7.427032,-0.080604896,1.2538059,0.46734187
-1.7282395,3.5823991,8.480637,9.406199,-11.5412,-14.1764,198.2274,-18.353588,-8.307084,-0.12313897,1.0396034,0.48551127
-1.8169746,3.8614733,8.538771,9.7478,-10.516399,-13.5664,197.55904,-18.356617,-9.007561,-0.16006067,0.82077104,0.41629764
-2.0797384,4.10643,8.6025915,9.15,-10.3456,-13.176,197.17401,-18.405329,-9.396869,-0.20973928,0.65897834,0.3323953
-2.4240544,3.6391118,8.27077,9.76,-10.0772,-13.6518,196.35555,-18.713753,-10.373515,-0.32078752,0.6929024,0.29237595
-2.5706992,3.1234605,7.837195,9.516,-8.8938,-14.700999,195.73703,-18.362518,-11.234127,-0.45858192,0.812111,0.46839106
-2.4913914,3.141791,7.940594,9.894199,-9.174399,-13.6396,195.10745,-18.079697,-11.727982,-0.5529096,0.6219567,0.6238386
-2.335095,3.406949,8.536152,10.0162,-8.979199,-14.8962,194.65282,-17.85675,-11.944024,-0.62440485,0.3145423,0.6890553
-2.1897967,3.6650739,9.377714,10.4432,-8.0764,-15.164599,193.99367,-17.474598,-12.051128,-0.6245881,0.0033474348,0.6614598
-1.9094507,3.6537762,9.991901,9.7844,-7.4298,-15.738,193.68939,-17.060278,-11.870326,-0.54959553,-0.29122683,0.5818708
-1.5780034,3.628637,10.85142,10.1748,-7.5884,-15.738,193.67534,-16.80887,-11.603521,-0.39689586,-0.5670655,0.47456968
-1.0654198,3.6759226,11.7017355,10.1016,-7.015,-16.409,193.42789,-16.535873,-11.013159,-0.13831069,-0.7387672,0.3602906
-0.39010525,3.545364,12.021361,9.796599,-6.9052,-15.921,193.58012,-16.450783,-10.33331,0.06356795,-0.6124473,0.2469108
0.05125088,3.3395374,12.01171,10.125999,-6.4294,-17.08,193.83286,-16.495466,-9.968592,0.18272664,-0.32874808,0.07555877
-0.37349546,2.9144917,11.516858,10.1626,-5.4778,-17.5436,194.19513,-16.692034,-9.67293,0.1475536,0.06981317,-0.18817247
-0.91091895,2.7350013,11.112164,9.943,-6.0146,-17.4582,194.28253,-16.765015,-9.720433,0.037171517,0.17409992,-0.22760892
-1.2586019,2.482488,10.784681,10.675,-5.3314,-18.7148,194.76381,-16.7187,-9.966567,-0.19455092,0.14978522,-0.11179766
-1.1563994,2.3085341,10.780118,10.187,-4.9776,-18.3122,195.11957,-16.593292,-10.058332,-0.2895448,0.09645942,-0.015904479
-0.9720459,2.2188265,10.95048,10.492,-4.9898,-18.605,195.09274,-16.335169,-10.11855,-0.3195218,0.04251742,0.08182064
-0.89558107,2.3087587,11.069218,10.2114,-4.4286,-19.5688,195.36507,-16.161304,-10.124019,-0.24451263,0.045781583,0.1119642
-0.89116675,2.4293666,11.042657,10.6262,-4.3554,-20.1544,195.59715,-15.975022,-10.132912,-0.11602776,0.089931086,0.10623526
-0.8937854,2.5139117,10.813112,10.3334,-4.026,-20.3374,195.52509,-15.926439,-10.164328,0.036322165,0.14770348,0.061602794
-0.94174427,2.5050085,10.463933,11.2484,-3.8186,-20.6302,195.78542,-15.976218,-10.268939,0.17623162,0.19085374,-0.03185892
